"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"VEI"	"Agent"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"
"[""Deaths >= 1""]"																																		
	1940	7	12			"Miyakejima"	"Izu Is-Japan"	"Japan"	34.094	139.526	775	"Stratovolcano"	2	"L"	11	1			20	1			24	1	11	1			20	1			24	1
	1941	7	13			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	2	"T"	1	1			1	1					1	1			1	1				
	1943	2	20			"Michoacan-Guanajuato"	"Mexico"	"Mexico"	19.85	-101.75	3860	"Cinder cone"	4	"E,I"	3	1									103	1								
	1943	4	13			"Azul, Cerro"	"Galapagos"	"Ecuador"	-0.92	-91.408	1640	"Shield volcano"	3	"T"	1	1									1	1								
	1944	3	27			"Vesuvius"	"Italy"	"Italy"	40.821	14.426	1281	"Complex volcano"	2	"T,L,I"	27	1									27	1								
	1944	6	10			"Cleveland"	"Aleutian Is"	"United States"	52.825	-169.944	1730	"Stratovolcano"	3	"T"	1	1									1	1								
	1944	7	11			"Toya"	"Hokkaido-Japan"	"Japan"	42.544	140.839	733	"Stratovolcano"		"P"	1	1									1	1								
	1944	8	26			"Toya"	"Hokkaido-Japan"	"Japan"	42.544	140.839	733	"Stratovolcano"	2	"G"	1	1							1	1	1	1							1	1
	1944	12	4			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	2	"T"	117	3			250	3					117	3			250	3				
	1944	12	28			"Toya"	"Hokkaido-Japan"	"Japan"	42.544	140.839	733	"Stratovolcano"	2	"T"	1	1									1	1								
	1946	1				"Aira"	"Kyushu-Japan"	"Japan"	31.593	130.657	1117	"Stratovolcano"	2		1	1									1	1								
	1946	2				"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2	"F"	6	1						2	81	2	6	1						2	81	2
	1947	8	14			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	2		11	1									11	1								
	1947	9	16			"Akagisan"	"Honshu-Japan"	"Japan"	36.56	139.193	1828	"Stratovolcano"		"m"	699	3									699	3								
	1947	11	2			"Hekla"	"Iceland-S"	"Iceland"	63.983	-19.666	1490	"Stratovolcano"	4	"L"	1	1									1	1								
	1949	1	1			"Villarrica"	"Chile-C"	"Chile"	-39.42	-71.93	2847	"Stratovolcano"	3	"M"	54	2						2			54	2						2		
	1949	5	26			"Purace"	"Colombia"	"Colombia"	2.32	-76.4	4650	"Stratovolcano"	2	"T"	17	1									17	1								
	1949	6				"Camiguin"	"Mindanao-Philippines"	"Philippines"	9.203	124.673	1552	"Stratovolcano"	3	"P"	2	1									2	1								
	1950	8	28			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	1	"P"	6	1									6	1								
	1950	9	15			"Camiguin"	"Mindanao-Philippines"	"Philippines"	9.203	124.673	1552	"Stratovolcano"	3	"P"	68	2									68	2								
	1950	9	23			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	2	"T"	1	1			1	1				1	1	1			1	1				1
	1951	1	21			"Lamington"	"New Guinea"	"Papua New Guinea"	-8.95	148.15	1680	"Stratovolcano"	4	"P"	2942	4				2					2942	4				2				
	1951	8	31			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	3		7	1									7	1								
	1951	11	5			"Hakoneyama"	"Honshu-Japan"	"Japan"	35.233	139.021	1438	"Complex volcano"		"G"	2	1									2	1								
	1951	12	4			"Camiguin"	"Mindanao-Philippines"	"Philippines"	9.203	124.673	1552	"Stratovolcano"	3	"P"	500	3	1500	4							500	3	1500	4						
	1952	3	27			"Hakoneyama"	"Honshu-Japan"	"Japan"	35.233	139.021	1438	"Complex volcano"		"G"	1	1									1	1								
	1952	9	24	1826		"Kita-Bayonnaise"	"Izu Is-Japan"	"Japan"	32.1	139.85	-360	"Submarine volcano"	2	"P"	31	1						1			31	1						1		
	1952					"Ambalatungan Group"	"Luzon-Philippines"	"Philippines"	17.32	121.1	2329	"Compound volcano"	1		12	1									12	1								
	1953	3	23			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3	"P"	64	2			57	2		2	144	3	64	2			57	2		2	144	3
	1953	4	27			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2	"T"	6	1									6	1								
	1953	6				"Sirung"	"Lesser Sunda Is"	"Indonesia"	-8.508	124.13	862	"Complex volcano"	0		5	1			1	1					5	1			1	1				
	1953	7	26			"Hakoneyama"	"Honshu-Japan"	"Japan"	35.233	139.021	1438	"Complex volcano"		"A"	10	1									10	1								
	1953	10	5			"Izu-Oshima"	"Izu Is-Japan"	"Japan"	34.724	139.394	746	"Stratovolcano"	1		1	1									1	1								
	1953	12	24			"Ruapehu"	"New Zealand"	"New Zealand"	-39.28	175.57	2797	"Stratovolcano"		"m"	151	3									151	3								
	1954	7	21			"Midagahara"	"Honshu-Japan"	"Japan"	36.571	137.59	2621	"Stratovolcano"		"G"	1	1									1	1								
	1954					"Camiguin"	"Mindanao-Philippines"	"Philippines"	9.203	124.673	1552	"Stratovolcano"		"m"	2	1									2	1								
	1955	7	26			"Carran-Los Venados"	"Chile-C"	"Chile"	-40.35	-72.07	1114	"Pyroclastic cone"	4	"G"	2	1									2	1								
	1957	7				"Unzendake"	"Kyushu-Japan"	"Japan"	32.761	130.299	1483	"Complex volcano"		"m"	13	1									13	1								
	1957	10	13			"Izu-Oshima"	"Izu Is-Japan"	"Japan"	34.724	139.394	746	"Stratovolcano"	2	"T"	1	1			53	2					1	1			53	2				
	1957	10				"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2	"T"	12	1									12	1								
	1958	7	12			"Mahawu"	"Sulawesi-Indonesia"	"Indonesia"	1.352	124.865	1299	"Stratovolcano"	2	"M"	1	1			10	1					1	1			10	1				
	1958	7	21			"Taisetsuzan"	"Hokkaido-Japan"	"Japan"	43.664	142.854	2291	"Stratovolcano"		"G"	2	1									2	1								
	1961	4	23			"Midagahara"	"Honshu-Japan"	"Japan"	36.571	137.59	2621	"Stratovolcano"		"G"	1	1									1	1								
	1961	5	8			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3	"P"	6	1			6	1		2		3	6	1			6	1		2		3
	1961	6	18			"Taisetsuzan"	"Hokkaido-Japan"	"Japan"	43.664	142.854	2291	"Stratovolcano"		"G"	2	1									2	1								
	1961	8	18			"Asamayama"	"Honshu-Japan"	"Japan"	36.406	138.523	2568	"Complex volcano"	2	"T"	1	1									1	1								
	1962	6	29			"Tokachidake"	"Hokkaido-Japan"	"Japan"	43.418	142.686	2077	"Stratovolcano"	3	"T"	5	1			11	1					5	1			11	1				
	1962	10				"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"		"m"	2	1									2	1								
	1962	12	31			"Gamalama"	"Halmahera-Indonesia"	"Indonesia"	0.8	127.33	1715	"Stratovolcano"	2		5	1			5	1					5	1			5	1				
	1963	3	17			"Irazu"	"Costa Rica"	"Costa Rica"	9.979	-83.852	3436	"Stratovolcano"	3	"T"	15	1									15	1								
	1963	3	18	1942		"Agung"	"Lesser Sunda Is"	"Indonesia"	-8.343	115.508	2997	"Stratovolcano"	5	"P,T,M,A"	1028	4		3	624	3					1028	4		3	624	3				
	1963	5	5			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2	"T"	1	1									1	1								
	1963	5	16		4292	"Agung"	"Lesser Sunda Is"	"Indonesia"	-8.343	115.508	2997	"Stratovolcano"	3		120	2									120	2								
	1963	9	5			"Batur"	"Lesser Sunda Is"	"Indonesia"	-8.242	115.375	1717	"Caldera"	2		2	1								1	2	1								1
	1963	9	28			"Fuego"	"Guatemala"	"Guatemala"	14.473	-90.88	3763	"Stratovolcano"	3	"M"	7	1									7	1								
	1963	12	10			"Irazu"	"Costa Rica"	"Costa Rica"	9.979	-83.852	3436	"Stratovolcano"	3	"M,T"	40	1				1		2	400	3	40	1				1		2	400	3
	1964	1	1			"Paluweh"	"Lesser Sunda Is"	"Indonesia"	-8.32	121.708	875	"Stratovolcano"	2		1	1			3	1					1	1			3	1				
	1964	3	3			"Villarrica"	"Chile-C"	"Chile"	-39.42	-71.93	2847	"Stratovolcano"	2	"M"	25	1									25	1								
	1964	12	13			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	1		114	3									114	3								
	1965	9	28	1977		"Taal"	"Luzon-Philippines"	"Philippines"	14.002	120.993	311	"Stratovolcano"	4	"P,W"	355	3						1		1	355	3						1		1
	1966	4	26			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	4	"M,m,P"	215	3	78	2	86	2					215	3	78	2	86	2				
	1966	8	12			"Awu"	"Sangihe Is-Indonesia"	"Indonesia"	3.689	125.447	1318	"Stratovolcano"	4	"P,M,I"	39	1			1000	3				2	39	1			1000	3				2
	1967	8	31			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"M"	3	1						1			3	1						1		
	1967	11	4			"Midagahara"	"Honshu-Japan"	"Japan"	36.571	137.59	2621	"Stratovolcano"		"G"	2	1									2	1								
	1968	4	21			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	3	"M,P"	6	1									6	1								
	1968	7	29			"Arenal"	"Costa Rica"	"Costa Rica"	10.463	-84.703	1670	"Stratovolcano"	3	"P,T"	80	2						1			80	2						1		
	1969	1	7			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"P"	3	1									3	1								
	1969	1	28			"Iya"	"Lesser Sunda Is"	"Indonesia"	-8.891	121.641	618	"Stratovolcano"	3	"T,m"	2	1			10	1			287	3	2	1			10	1			287	3
	1969	8	26			"Naruko"	"Honshu-Japan"	"Japan"	38.729	140.734	470	"Caldera"		"G"	1	1									1	1								
	1970	3	2			"Campi Flegrei"	"Italy"	"Italy"	40.827	14.139	458	"Caldera"		"S"	3	1						1		1	3	1						1		1
	1971	8	12			"Hudson, Cerro"	"Chile-S"	"Chile"	-45.9	-72.97	1905	"Stratovolcano"	3	"M"	5	1									3	1								
	1971	9	14			"Fuego"	"Guatemala"	"Guatemala"	14.473	-90.88	3763	"Stratovolcano"	3	"M,T"	10	1									10	1								
	1971	10	29			"Villarrica"	"Chile-C"	"Chile"	-39.42	-71.93	2847	"Stratovolcano"	2	"M"	15	1									15	1								
	1971	12	27			"Kusatsu-Shiranesan"	"Honshu-Japan"	"Japan"	36.618	138.528	2165	"Stratovolcano"		"G"	6	1									6	1								
	1972	6	9			"Fournaise, Piton de la"	"Indian O-W"	"Reunion"	-21.244	55.708	2632	"Shield volcano"	2	"I"	3	1									3	1								
	1972	10	2			"Hakoneyama"	"Honshu-Japan"	"Japan"	35.233	139.021	1438	"Complex volcano"			2	1									2	1								
	1973	1	27			"Vestmannaeyjar"	"Iceland-S"	"Iceland"	63.416	-20.266	283	"Submarine volcano"	3	"G"	1	1							300	3	1	1							300	3
	1973	4	5			"Hudson, Cerro"	"Chile-S"	"Chile"	-45.9	-72.97	1905	"Stratovolcano"		"M"	2	1						1		1	2	1						1		1
	1974	2	11			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	3	"A"	4	1									4	1								
	1974	6	17			"Aira"	"Kyushu-Japan"	"Japan"	31.593	130.657	1117	"Stratovolcano"	3	"M"	3	1									3	1								
	1974	7	28			"Niigata-Yakeyama"	"Honshu-Japan"	"Japan"	36.921	138.036	2400	"Lava dome"	2	"T"	3	1									3	1								
	1974	8	9			"Aira"	"Kyushu-Japan"	"Japan"	31.593	130.657	1117	"Stratovolcano"	3	"M"	5	1									5	1								
	1974	10	22			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"M"	9	1							6	1	9	1							6	1
	1975	1				"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"	2	"M"	80	2						3		3	80	2						3		3
	1975	6	17			"Arenal"	"Costa Rica"	"Costa Rica"	10.463	-84.703	1670	"Stratovolcano"	3		2	1				1					2	1				1				
	1976	8	3			"Kusatsu-Shiranesan"	"Honshu-Japan"	"Japan"	36.618	138.528	2165	"Stratovolcano"		"G"	3	1									3	1								
	1976	8	12			"Sangay"	"Ecuador"	"Ecuador"	-2.005	-78.341	5286	"Stratovolcano"	3	"T"	2	1			4	1					2	1			4	1				
	1976	8	31			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	2	"M"	119	3									119	3								
	1976	9	15			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	2	"P,L"	1	1			1	1			24	1	1	1			1	1			24	1
	1976	11	25			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"M"	29	1									29	1								
	1977	8	2			"Klyuchevskoy"	"Kamchatka"	"Russia"	56.056	160.642	4754	"Stratovolcano"	3	"T"	1	1									1	1								
	1977	8	7			"Toya"	"Hokkaido-Japan"	"Japan"	42.544	140.839	733	"Stratovolcano"	3	"I"	3	1									3	1								
	1978	9	2			"Santa Maria"	"Guatemala"	"Guatemala"	14.757	-91.552	3745	"Stratovolcano"	3	"M"	1	1									1	1								
	1978	9	19			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"M"	12	1									12	1								
	1978	10	24			"Toya"	"Hokkaido-Japan"	"Japan"	42.544	140.839	733	"Stratovolcano"	3	"m"	3	1			2	1					3	1			2	1				
	1978					"Tangkuban Parahu"	"Java"	"Indonesia"	-6.77	107.6	2084	"Stratovolcano"		"I"	3	1									3	1								
	1979	2	20			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"	1	"G"	149	3									149	3								
	1979	3	8			"Karkar"	"New Guinea-NE of"	"Papua New Guinea"	-4.647	145.976	1839	"Stratovolcano"	2	"P"	2	1									2	1								
	1979	4	13			"Soufriere St. Vincent"	"W Indies"	"St. Vincent & the Grenadines"	13.33	-61.18	1220	"Stratovolcano"	3	"T,P"	2	1									2	1								
	1979	7	5			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	2	"T"	9	1			23	1					9	1			23	1				
	1979	9	6			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2	"T"	3	1			11	1					3	1			11	1				
	1980	5	18	3018	4876	"St. Helens"	"US-Washington"	"United States"	46.2	-122.18	2549	"Stratovolcano"	5	"P,M,T"	57	2					2000	4			61	2					2000	4		
	1980	12	25			"Hood"	"US-Oregon"	"United States"	45.374	-121.695	3426	"Stratovolcano"		"m"	1	1									1	1								
	1981	3	29			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"P"	1	1									1	1								
	1981	5	14			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"m"	372	3	120	3	152	3					372	3	120	3	152	3				
	1981	6	30			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"		"m"	200	3									200	3								
	1982	3	29		7221	"Chichon, El"	"Mexico"	"Mexico"	17.36	-93.228	1150	"Tuff cone"	5	"P,T,M,S"	1879	4	1755	4			3.3	2			1879	4	1755	4			3.3	2		
	1982	4	4			"Chichon, El"	"Mexico"	"Mexico"	17.36	-93.228	1150	"Tuff cone"	5	"P"	33	1									33	1								
	1982	5	17			"Galunggung"	"Java"	"Indonesia"	-7.25	108.058	2168	"Stratovolcano"	4	"I,T"	68	2					15	3			68	2					15	3		
	1982	5	27			"Chichon, El"	"Mexico"	"Mexico"	17.36	-93.228	1150	"Tuff cone"	5	"m"	1	1									1	1								
	1983	3	8			"Klyuchevskoy"	"Kamchatka"	"Russia"	56.056	160.642	4754	"Stratovolcano"	2	"T"	1	1									1	1								
	1984	8	15	5807		"Oku Volcanic Field"	"Africa-W"	"Cameroon"	6.25	10.5	3011	"Maar"		"G"	37	1									37	1								
	1984	9	9			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	3	"M"	1	1									1	1								
	1984	9	14			"Ontakesan"	"Honshu-Japan"	"Japan"	35.893	137.48	3067	"Complex volcano"		"A"	29	1									29	1								
	1984	10	16			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	3	"S"	1	1									1	1								
	1985	5	10			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"A"	70	2									70	2								
	1985	11	13			"Ruiz, Nevado del"	"Colombia"	"Colombia"	4.892	-75.324	5279	"Stratovolcano"	3	"M"	23080	4			10000	4					23080	4			10000	4				
	1985	12	19			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	1	"S"	1	1									1	1								
	1986	5	8			"Akita-Yakeyama"	"Honshu-Japan"	"Japan"	39.964	140.757	1366	"Complex volcano"		"G"	1	1									1	1								
	1986	7	24			"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"T"	1	1									1	1								
	1986	8	21	5808		"Oku Volcanic Field"	"Africa-W"	"Cameroon"	6.25	10.5	3011	"Maar"	3	"G"	1700	4			300	3					1700	4			300	3				
	1986	10	15			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2	"M"	1	1									1	1								
	1986	11	15			"Izu-Oshima"	"Izu Is-Japan"	"Japan"	34.724	139.394	746	"Stratovolcano"	3	"I"	1	1									1	1								
	1987	4	17			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	2	"T"	2	1			7	1					2	1			7	1				
	1988	5	9			"Banda Api"	"Banda Sea"	"Pacific Ocean"	-4.523	129.881	596	"Caldera"	3	"T,L"	4	1									4	1								
	1988	7	6			"Arenal"	"Costa Rica"	"Costa Rica"	10.463	-84.703	1670	"Stratovolcano"	3	"T"	1	1									1	1								
	1988	7	30			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	1	1									1	1								
	1988	12	25			"Lonquimay"	"Chile-C"	"Chile"	-38.379	-71.586	2832	"Stratovolcano"	3	"T"	1	1									1	1								
	1988					"Akita-Yakeyama"	"Honshu-Japan"	"Japan"	39.964	140.757	1366	"Complex volcano"		"I"	3	1									3	1								
	1989	2	12			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"		"G"	1	1									1	1								
	1989	8	26			"Kirishimayama"	"Kyushu-Japan"	"Japan"	31.934	130.862	1700	"Shield volcano"		"G"	2	1									2	1								
	1990	2	10			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"	4	"T,P"	32	1									32	1								
	1990	3	26			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2	"G"	1	1									1	1								
	1990	4	18			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2	"G"	1	1									1	1								
	1990	6	24			"Rabaul"	"New Britain-SW Pac"	"Papua New Guinea"	-4.271	152.203	688	"Pyroclastic shield"		"G"	6	1									6	1								
	1990	7	19			"Santa Maria"	"Guatemala"	"Guatemala"	14.757	-91.552	3745	"Stratovolcano"	3	"T"	4	1									4	1								
	1990	10	19			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	2	"G"	1	1									1	1								
	1990	11	21			"Nyiragongo"	"Africa-C"	"Congo, DRC"	-1.52	29.25	3470	"Stratovolcano"		"S"	1	1									1	1								
	1990	11	25			"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"		"m"	4	1									4	1								
	1991	6	3			"Unzendake"	"Kyushu-Japan"	"Japan"	32.761	130.299	1483	"Complex volcano"	1	"P"	43	1									43	1								
	1991	6	15		5292	"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"	6	"P,m,I"	350	3			4	1		3			800	3			4	1		3		
	1991	6				"Mutnovsky"	"Kamchatka"	"Russia"	52.449	158.196	2288	"Complex volcano"		"I"	1	1									1	1								
	1991	10	24			"Lokon-Empung"	"Sulawesi-Indonesia"	"Indonesia"	1.358	124.792	1580	"Stratovolcano"	1	"T,P"	1	1									1	1								
	1992	1	21			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	2	"M"	2	1									2	1								
	1992	3	18			"Dieng Volcanic Complex"	"Java"	"Indonesia"	-7.2	109.879	2565	"Complex volcano"		"G"	1	1			2	1					1	1			2	1				
	1992	4	10			"Negro, Cerro"	"Nicaragua"	"Nicaragua"	12.506	-86.702	728	"Cinder cone"	3	"T,I"	11	1			50	1	3	2		1	11	1			50	1	3	2		1
	1992	5	11			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	1	"P"	6	1			1	1					6	1			1	1				
	1992	7	5			"Marapi"	"Sumatra"	"Indonesia"	-0.38	100.474	2885	"Complex volcano"	2	"T"	1	1			5	1					1	1			5	1				
	1992	7	12			"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"	1	"m"	6	1									6	1								
	1992	9	17			"Spurr"	"Alaska-SW"	"United States"	61.299	-152.251	3374	"Stratovolcano"	4	"I"	1	1					2	2			1	1					2	2		
	1992					"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	3	1									3	1								
	1993	1	14			"Galeras"	"Colombia"	"Colombia"	1.22	-77.37	4276	"Complex volcano"	2	"T"	9	1									9	1								
	1993	1	21			"Wurlali"	"Banda Sea"	"Indonesia"	-7.125	128.675	868	"Stratovolcano"		"m"	1	1			12	1					1	1			12	1				
	1993	2	2			"Mayon"	"Luzon-Philippines"	"Philippines"	13.257	123.685	2462	"Stratovolcano"	2	"P"	75	2									75	2								
	1993	3	12			"Guagua Pichincha"	"Ecuador"	"Ecuador"	-0.171	-78.598	4784	"Stratovolcano"	1	"T"	2	1									2	1								
	1993	4	19			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"A"	1	1			22	1					1	1			22	1				
	1993	6	13			"Krakatau"	"Indonesia"	"Indonesia"	-6.102	105.423	155	"Caldera"	1	"T"	1	1			5	1					1	1			5	1				
	1993	6	23			"Unzendake"	"Kyushu-Japan"	"Japan"	32.761	130.299	1483	"Complex volcano"	1	"P"	1	1								1	1	1								1
	1993	6	26			"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"	1	"m"	4	1									4	1								
	1993	10	4			"Pinatubo"	"Luzon-Philippines"	"Philippines"	15.13	120.35	1486	"Stratovolcano"		"m"	14	1									14	1								
	1994	1	15			"Yasur"	"Vanuatu-SW Pacific"	"Vanuatu"	-19.532	169.447	361	"Stratovolcano"	3	"T"	1	1									1	1								
	1994	2	3			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"P"	6	1									6	1								
	1994	5	29			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"	1	"G"	1	1									1	1								
	1994	9	19	2229		"Rabaul"	"New Britain-SW Pac"	"Papua New Guinea"	-4.271	152.203	688	"Pyroclastic shield"	3	"T,W"	4	1					86	4			4	1					86	4		1
	1994	11	3			"Rinjani"	"Lesser Sunda Is"	"Indonesia"	-8.42	116.47	3726	"Stratovolcano"	3	"m"	31	1									31	1								
	1994	11	22			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	3		60	2									60	2								
	1995	2	4			"Yasur"	"Vanuatu-SW Pacific"	"Vanuatu"	-19.532	169.447	361	"Stratovolcano"	3	"T"	2	1									2	1								
	1995	2	11			"Yakedake"	"Honshu-Japan"	"Japan"	36.227	137.587	2455	"Stratovolcano"	1	"T"	4	1									4	1								
	1995	4	7			"Pacaya"	"Guatemala"	"Guatemala"	14.382	-90.601	2569	"Complex volcano"	3	"M"	1	1						1	1	1	1	1						1	1	1
	1995	5	15			"Kelimutu"	"Lesser Sunda Is"	"Indonesia"	-8.77	121.82	1639	"Complex volcano"			1	1									1	1								
	1995	9	6			"Melebingoy"	"Mindanao-Philippines"	"Philippines"	6.113	124.892	1824	"Stratovolcano"			60	2						2	300	3	60	2						2	300	3
	1996	4	30			"Popocatepetl"	"Mexico"	"Mexico"	19.023	-98.622	5393	"Stratovolcano"	3		5	1						1			5	1						1		
	1996	8	10			"Kanlaon"	"Philippines-C"	"Philippines"	10.412	123.132	2435	"Stratovolcano"	2	"T"	3	1			18	1					3	1			18	1				
	1996	9	27			"Maderas"	"Nicaragua"	"Nicaragua"	11.446	-85.515	1394	"Stratovolcano"		"m"	6	1				1					6	1				1				
	1996	12	3			"Manam"	"New Guinea-NE of"	"Papua New Guinea"	-4.08	145.037	1807	"Stratovolcano"	3	"P"	13	1			29	1					13	1			29	1				
	1997	1	14			"Merapi"	"Java"	"Indonesia"	-7.54	110.446	2910	"Stratovolcano"	2		6	1				1					6	1				1				
	1997	4	17			"Karangetang"	"Sangihe Is-Indonesia"	"Indonesia"	2.781	125.407	1797	"Stratovolcano"	1	"P"	3	1									3	1								
	1997	6	25			"Soufriere Hills"	"W Indies"	"Montserrat"	16.72	-62.18	915	"Stratovolcano"	3	"P"	22	1	1								22	1								
	1997	7	12			"Hakkodasan"	"Honshu-Japan"	"Japan"	40.659	140.877	1585	"Stratovolcano"		"G"	3	1									3	1								
	1997	8	1			"Soufriere Hills"	"W Indies"	"Montserrat"	16.72	-62.18	915	"Stratovolcano"	3		2	1									2	1								
	1997	9	2			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	2	1									2	1								
	1997	9	15			"Adatarayama"	"Honshu-Japan"	"Japan"	37.647	140.281	1728	"Stratovolcano"		"G"	4	1									4	1								
	1997	11	23			"Asosan"	"Kyushu-Japan"	"Japan"	32.884	131.104	1592	"Caldera"		"G"	2	1									2	1								
	1998	4	28			"Kilauea"	"Hawaiian Is"	"United States"	19.421	-155.287	1222	"Shield volcano"		"L"	1	1																		
	1998	7				"Kelud"	"Java"	"Indonesia"	-7.935	112.314	1730	"Stratovolcano"		"m"	10	1									10	1								
	1998	10	30			"San Cristobal"	"Nicaragua"	"Nicaragua"	12.702	-87.004	1745	"Stratovolcano"		"m"	1620	4									1620	4								
	1999	10	5			"Guagua Pichincha"	"Ecuador"	"Ecuador"	-0.171	-78.598	4784	"Stratovolcano"	3	"T"	2	1									2	1								
	1999	10	16			"Tungurahua"	"Ecuador"	"Ecuador"	-1.467	-78.442	5023	"Stratovolcano"	3	"T"	1	1			4	1					1	1			4	1				
	2000	7	27			"Semeru"	"Java"	"Indonesia"	-8.108	112.922	3657	"Stratovolcano"	3	"T"	2	1									2	1								
	2000	8	23			"Arenal"	"Costa Rica"	"Costa Rica"	10.463	-84.703	1670	"Stratovolcano"	3	"P"	2	1			1	1					2	1			1	1				
